时间,最新价,金额,笔数,秒,成交额,代码,名称,昨收,今开,最高,最低,涨跌幅,振幅
09:25:00,2.53,575828.0,64,:00,575828.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:00,2.53,266915.0,20,:00,842743.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:03,2.53,807576.0,82,:03,1650319.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:06,2.53,77418.0,25,:06,1727737.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:09,2.53,42251.0,11,:09,1769988.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:12,2.53,8855.0,4,:12,1778843.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:15,2.53,8096.0,2,:15,1786939.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:18,2.53,253.0,1,:18,1787192.0,000008,神州高铁,2.55,2.53,2.53,2.53,-0.78,0.0
09:30:21,2.52,1512.0,2,:21,1788704.0,000008,神州高铁,2.55,2.53,2.53,2.52,-1.18,0.39
09:30:24,2.53,104995.0,11,:24,1893699.0,000008,神州高铁,2.55,2.53,2.53,2.52,-0.78,0.39
09:30:27,2.53,31625.0,3,:27,1925324.0,000008,神州高铁,2.55,2.53,2.53,2.52,-0.78,0.39
09:30:30,2.53,440979.0,15,:30,2366303.0,000008,神州高铁,2.55,2.53,2.53,2.52,-0.78,0.39
09:30:33,2.53,444774.0,99,:33,2811077.0,000008,神州高铁,2.55,2.53,2.53,2.52,-0.78,0.39
09:30:36,2.54,6096.0,3,:36,2817173.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:30:39,2.53,19481.0,14,:39,2836654.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.78,0.78
09:30:42,2.54,192786.0,25,:42,3029440.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:30:45,2.53,61226.0,23,:45,3090666.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.78,0.78
09:30:48,2.54,187960.0,12,:48,3278626.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:30:51,2.54,16510.0,3,:51,3295136.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:30:54,2.54,253492.0,8,:54,3548628.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:30:57,2.54,1270.0,2,:57,3549898.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:31:00,2.53,1771.0,2,:00,3551669.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.78,0.78
09:31:03,2.54,25400.0,2,:03,3577069.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:31:06,2.54,3048.0,4,:06,3580117.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:31:09,2.54,286512.0,52,:09,3866629.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
09:31:12,2.54,22860.0,7,:12,3889489.0,000008,神州高铁,2.55,2.53,2.54,2.52,-0.39,0.78
