时间,成交,金额,笔数
9:15,9.62,962,0
9:15,9.7,970,0
9:15,9.68,5808,0
9:15,9.68,5808,0
9:15,10.39,1948125,0
9:16,10.39,1948125,0
9:16,10.39,1948125,0
9:16,9.96,1867500,0
9:16,9.93,1861875,0
9:16,10.38,1946250,0
9:16,10.38,1946250,0
9:17,10.38,1946250,0
9:17,10.38,1946250,0
9:17,10.37,1944375,0
9:17,10.37,1944375,0
9:17,10.38,1946250,0
9:17,10.37,1944375,0
9:17,9.6,22080,0
9:18,9.6,22080,0
9:18,9.6,22080,0
9:18,9.6,22080,0
9:19,9.6,22080,0
9:19,9.6,22080,0
9:19,9.6,22080,0
9:20,9.6,22080,0
9:20,9.6,22080,0
9:21,9.6,22080,0
9:21,9.6,22080,0
9:22,9.6,22080,0
9:22,9.6,22080,0
9:23,9.6,22080,0
9:23,9.6,22080,0
9:23,9.61,22103,0
9:23,9.62,22126,0
9:24,9.62,22126,0
9:24,9.68,112288,0
9:25,9.68,112288,5
9:30,9.68,85184,9
9:30,9.69,42636,11
9:30,9.71,76709,10
9:30,9.71,5826,6
9:30,9.71,33014,5
9:30,9.72,5832,4
9:30,9.72,3888,4
9:30,9.71,15536,7
9:30,9.73,2919,3
9:30,9.73,13622,12
9:30,9.72,20412,14
9:30,9.73,42812,7
9:30,9.71,20391,11
9:30,9.7,21340,12
9:30,9.7,8730,2
9:30,9.74,393496,35
9:30,9.74,582452,22
9:30,9.72,1944,2
9:30,9.73,973,1
9:31,9.73,0,0
9:31,9.74,5844,2
9:31,9.72,1944,2
9:31,9.72,19440,4
9:31,9.72,0,0
9:31,9.71,3884,3
9:31,9.71,0,0
9:31,9.72,2916,2
9:31,9.72,263412,29
9:31,9.71,11652,4
9:31,9.71,0,0
9:31,9.71,5826,2
9:31,9.7,56260,15
9:31,9.71,13594,5
9:31,9.71,2913,3
9:31,9.7,7760,5
9:31,9.7,970,1
9:31,9.7,0,0
9:31,9.7,0,0
9:31,9.71,26217,2
9:32,9.71,0,0
9:32,9.69,9690,7
9:32,9.69,0,0
9:32,9.69,0,0
9:32,9.69,0,0
9:32,9.7,970,1
9:32,9.71,971,1
9:32,9.72,101088,16
9:32,9.72,0,0
9:32,9.7,44620,1
9:32,9.7,504400,22
9:32,9.7,263840,74
9:32,9.7,35890,6
9:32,9.7,60140,5
9:32,9.7,70810,6
9:32,9.7,0,0
9:32,9.72,1944,1
9:32,9.71,83506,11
9:33,9.72,5832,4
9:33,9.72,25272,3
9:33,9.73,15568,8
9:33,9.72,972,1
9:33,9.72,0,0
9:33,9.72,0,0
9:33,9.72,4860,5
9:33,9.72,12636,2
9:33,9.72,1944,1
9:33,9.72,7776,1
9:33,9.72,0,0
9:33,9.72,98172,4
9:33,9.72,0,0
9:33,9.72,7776,2
9:33,9.72,13608,5
9:33,9.72,972,1
9:33,9.72,0,0
9:33,9.72,972,1
9:34,9.72,11664,1
9:34,9.73,13622,3
9:34,9.73,0,0
9:34,9.73,3892,3
9:34,9.73,1946,1
9:34,9.73,10703,1
9:34,9.73,19460,5
9:34,9.73,1946,2
9:34,9.73,0,0
9:34,9.73,48650,2
9:34,9.73,19460,3
9:34,9.73,0,0
9:34,9.73,33082,3
9:34,9.73,36001,1
9:34,9.73,0,0
9:34,9.73,66164,6
9:34,9.73,2919,2
9:34,9.73,973,1
9:35,9.74,13636,3
9:35,9.73,52542,5
9:35,9.74,48700,2
9:35,9.73,973,1
9:35,9.73,0,0
9:35,9.73,4865,2
9:35,9.73,0,0
9:35,9.72,6804,4
9:35,9.74,12662,1
9:35,9.73,12649,2
9:35,9.73,3892,3
9:35,9.73,0,0
9:35,9.73,0,0
9:35,9.73,973,1
9:35,9.73,973,1
9:35,9.74,29220,1
9:35,9.73,973,1
9:35,9.73,4865,1
9:36,9.73,0,0
9:36,9.73,0,0
9:36,9.73,973,1
9:36,9.73,10703,2
9:36,9.73,2919,1
9:36,9.73,7784,1
9:36,9.74,85712,34
9:36,9.74,0,0
9:36,9.74,59414,9
9:36,9.74,974,1
9:36,9.74,974,1
9:36,9.74,0,0
9:36,9.74,0,0
