[2025-03-21 10:10:26] INFO:src.trade:load config = None
[2025-03-21 10:12:03] INFO:src.trade:load config = None
[2025-03-21 10:16:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:16:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:16:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:16:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:16:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:53] INFO:src.trade:load config = None
[2025-03-21 10:17:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:17:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:22] INFO:src.trade:load config = None
[2025-03-21 10:18:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:44] INFO:src.trade:load config = None
[2025-03-21 10:18:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:18:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:43] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:46] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:49] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:52] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:55] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:19:58] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:01] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:04] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:07] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:10] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:13] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:16] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:19] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:22] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:25] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:28] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:31] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:34] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:37] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:40] ERROR:__main__:name 'trade' is not defined
[2025-03-21 10:20:43] ERROR:__main__:name 'trade' is not defined
