.,代码,    名称,细分行业,现价,区间日均换手率%[20250415-20250417],振幅,1分钟涨速,5日平均振幅,涨幅,5日涨幅,10日涨幅,15日涨幅,20日涨幅,换手,流通市值,成交额
,300688,创业黑马,教育,26.82,5.72,7.98%,0.04%,5.21,3.87%,6.26%,-7.36%,-8.34,-15.74%,7.35%,3977247300,--
,300192,科德教育,教育,15.01,--,3.38%,0.00%,3.76,-0.53%,-0.79%,-8.42%,-10.6,-17.35%,7.25%,3154664200,--
4,002093,国脉科技,教育,10.37,--,2.95%,-0.10%,3.82,-1.43%,-1.05%,-6.24%,-10.37,-28.19%,3.99%,10441203000,--
4,600661,昂立教育,教育,9.82,--,4.67%,0.00%,3.52,1.97%,2.83%,-4.01%,-7.97,-11.29%,1.86%,2813909500,--
4,600636,国新文化,教育,7.29,--,8.19%,0.00%,5.07,1.25%,6.89%,5.65%,0.97,-6.18%,4.56%,3197662300,--
4,300010,豆神教育,教育,6.99,4.63,2.40%,0.00%,4.83,-1.41%,1.90%,-9.34%,-12.3,-15.88%,3.39%,11626694700,--
,003032,传智教育,教育,6.44,5.88,3.27%,-0.16%,5.11,-4.17%,-4.87%,-15.37%,-19.7,-26.73%,5.73%,1761136700,--
4,600730,中国高科,教育,6.35,--,3.66%,-0.16%,3.52,0.95%,6.37%,-3.05%,-7.16,-8.90%,2.45%,3725265600,--
,002659,凯文教育,教育,4.49,--,6.21%,-0.44%,4.27,3.22%,6.65%,0.45%,-2.18,-6.85%,2.70%,2686278900,--
4,002607,中公教育,教育,3.03,--,2.60%,-0.33%,3.91,-1.62%,1.00%,-4.11%,-8.46,-12.43%,3.21%,15237095000,--
