序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,concept
1,000558,天府文旅,4.44,9.9,0.4,1269309,553793195.17,6.68,4.44,4.17,4.17,4.04,9.85,-485.53,5.3,旅游酒店
2,000796,凯撒旅业,4.38,6.83,0.28,2185511,945095354.66,9.27,4.51,4.13,4.13,4.1,16.42,-290.13,8.18,旅游酒店
3,000524,岭南控股,16.06,5.38,0.82,931087,1504195872.29,10.56,16.76,15.15,15.5,15.24,13.9,71.69,4.75,旅游酒店
4,600593,大连圣亚,38.34,5.36,1.95,180144,679260534.0,6.92,38.52,36.0,36.06,36.39,13.99,35.22,15.1,旅游酒店
5,002707,众信旅游,8.67,3.58,0.3,937430,811175185.77,5.02,8.82,8.4,8.4,8.37,11.36,51.74,9.65,旅游酒店
6,000610,西安旅游,13.8,3.45,0.46,282540,386610965.0,4.2,13.87,13.31,13.33,13.34,12.0,-28.22,7.97,旅游酒店
7,600706,曲江文旅,10.07,3.28,0.32,114891,115270589.0,4.72,10.18,9.72,9.75,9.75,4.52,-10.65,4.38,旅游酒店
8,000888,峨眉山Ａ,15.13,3.07,0.45,435311,652961269.63,4.7,15.25,14.56,14.61,14.68,8.26,24.51,3.03,旅游酒店
9,603136,天目湖,12.68,2.67,0.33,168767,211235195.0,4.45,12.76,12.21,12.21,12.35,6.25,30.07,2.59,旅游酒店
10,000430,张家界,9.41,2.62,0.24,845093,796080844.36,13.3,10.09,8.87,8.87,9.17,25.47,-44.14,4.72,旅游酒店
11,300859,西域旅游,40.79,2.49,0.99,125012,509847923.5,5.6,41.89,39.66,39.98,39.8,8.07,41.12,8.04,旅游酒店
12,603099,长白山,35.8,2.4,0.84,175532,629122672.0,4.09,36.5,35.07,35.07,34.96,6.58,48.43,8.18,旅游酒店
13,000721,西安饮食,9.26,2.21,0.2,275725,254577293.0,3.31,9.32,9.02,9.05,9.06,5.38,-44.97,15.96,旅游酒店
14,600138,中青旅,10.42,1.96,0.2,271110,282391017.0,3.42,10.57,10.22,10.24,10.22,3.75,47.01,1.2,旅游酒店
15,002159,三特索道,15.57,1.9,0.29,61729,96356713.45,2.81,15.82,15.39,15.4,15.28,4.46,19.44,2.02,旅游酒店
16,600576,祥源文旅,9.82,1.87,0.18,124137,121843220.0,4.05,9.95,9.56,9.8,9.64,1.88,70.49,3.73,旅游酒店
17,002186,全 聚 德,10.92,1.87,0.2,91305,99700636.52,2.89,11.03,10.72,10.8,10.72,2.98,35.68,3.83,旅游酒店
18,300144,宋城演艺,9.94,1.53,0.15,811717,806508716.06,3.17,10.06,9.75,9.78,9.79,3.45,19.4,3.23,旅游酒店
19,002627,三峡旅游,5.45,1.3,0.07,267784,145989480.52,3.16,5.53,5.36,5.37,5.38,3.73,26.46,1.28,旅游酒店
20,600749,西藏旅游,11.67,1.21,0.14,70170,81918781.0,2.34,11.78,11.51,11.52,11.53,3.09,99.11,2.52,旅游酒店
21,600754,锦江酒店,26.03,1.09,0.28,67988,176240804.0,1.83,26.07,25.6,25.8,25.75,0.75,30.57,1.81,旅游酒店
22,601007,金陵饭店,6.99,1.01,0.07,98517,68889359.0,2.6,7.08,6.9,6.92,6.92,2.53,81.97,1.74,旅游酒店
23,600054,黄山旅游,12.31,0.9,0.11,132176,162787738.0,2.13,12.44,12.18,12.18,12.2,2.58,23.64,1.94,旅游酒店
24,605108,同庆楼,21.32,0.8,0.17,30273,65021167.0,3.03,21.79,21.15,21.17,21.15,1.16,49.85,2.5,旅游酒店
25,002033,丽江股份,9.75,0.62,0.06,296929,290757374.0,2.06,9.9,9.7,9.75,9.69,5.4,25.41,2.12,旅游酒店
27,300756,金马游乐,17.88,0.45,0.08,67915,123176048.11,3.71,18.45,17.79,17.9,17.8,5.18,130.08,2.03,旅游酒店
29,603199,九华旅游,38.96,0.36,0.14,61574,238999970.0,2.78,39.48,38.4,38.5,38.82,5.56,23.18,2.85,旅游酒店
30,002059,云南旅游,5.75,0.35,0.02,335168,194085990.71,2.27,5.86,5.73,5.76,5.73,3.31,-207.16,4.1,旅游酒店
32,301073,君亭酒店,23.93,0.13,0.03,194512,470841229.96,7.07,24.89,23.2,23.9,23.9,17.34,190.57,4.81,旅游酒店
33,601888,中国中免,67.98,0.04,0.03,464455,3178627985.0,3.64,69.55,67.08,67.61,67.95,2.38,32.96,2.55,旅游酒店
34,000978,桂林旅游,6.75,-0.44,-0.03,387272,262424561.11,5.31,6.91,6.55,6.69,6.78,10.75,-15.45,2.95,旅游酒店
35,600258,首旅酒店,15.12,-0.92,-0.14,204762,309611748.0,2.42,15.3,14.93,15.2,15.26,1.83,20.94,1.44,旅游酒店
36,000428,华天酒店,3.48,-1.42,-0.05,1362757,485107997.76,6.52,3.7,3.47,3.56,3.53,13.37,-23.83,2.18,旅游酒店
37,002306,中科云网,2.34,-1.68,-0.04,899567,209047980.7,7.98,2.41,2.22,2.22,2.38,11.06,-39.56,644.26,旅游酒店
