排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板_含一字,BK1051,8001.93,210.54,2.7,83946445000,9.35,16,7,乐山电力,10.01
2,昨日连板,BK0816,51.03,1.07,2.14,53407776000,9.77,8,5,乐山电力,10.01
3,乳业,BK0892,1179.8,18.4,1.58,484541168000,5.12,18,12,维维股份,9.95
4,上证50_,BK0611,1793.87,20.07,1.13,27047027968000,0.3,45,5,京沪高铁,4.45
5,昨日涨停_含一字,BK1050,336.58,3.53,1.06,368827584000,9.63,44,37,永泰运,10.02
6,上证180_,BK0612,1444.26,11.08,0.77,42567037952000,0.4,135,41,京沪高铁,4.45
7,昨日涨停,BK0815,1178.13,8.34,0.71,318407792000,10.01,35,34,永泰运,10.02
8,超级品牌,BK0811,2369.32,16.32,0.69,8839686144000,0.93,21,9,桂发祥,10.02
9,免税概念,BK0927,1367.97,9.13,0.67,937346736000,1.95,16,11,欧亚集团,10.01
10,注册制次新股,BK0971,647.29,3.77,0.59,753641056000,15.46,34,44,亚联机械,10.0
11,中特估,BK1139,1051.45,5.29,0.51,23330489856000,0.34,51,27,京沪高铁,4.45
12,退税商店,BK0933,1223.39,3.75,0.31,159637464000,2.73,5,4,小商品城,2.4
13,预制菜概念,BK1025,1135.04,3.4,0.3,676851104000,4.08,26,30,金陵饭店,10.01
14,HS300_,BK0500,9890.25,17.44,0.18,55862554624000,0.48,178,118,山金国际,6.15
15,科创板做市商,BK1107,1323.38,2.22,0.17,1807153552000,0.46,9,5,东吴证券,1.07
16,滨海新区,BK0566,8766.51,12.39,0.14,188497141000,2.04,6,13,天保基建,10.06
17,证金持股,BK0718,1263.09,1.79,0.14,36695414016000,0.47,134,93,国新文化,5.57
18,次新股,BK0501,26406.13,31.42,0.12,826681728000,14.77,37,57,亚联机械,10.0
19,数字阅读,BK0959,1484.97,1.58,0.11,187780209000,1.85,10,9,读客文化,7.46
20,黄金概念,BK0547,12529.94,9.07,0.07,1729861552000,1.92,25,35,特  力Ａ,9.99
21,AH股,BK0499,7372.38,5.15,0.07,33204920064000,0.36,80,65,赤峰黄金,8.08
22,社区团购,BK0965,895.18,0.52,0.06,600215952000,3.75,18,18,品渥食品,10.09
23,冰雪经济,BK1185,896.09,0.49,0.05,226682589000,4.62,16,19,欧亚集团,10.01
24,新零售,BK0825,965.73,0.36,0.04,2596504608000,2.94,61,78,国光连锁,10.04
25,上海自贸,BK0643,2856.76,1.14,0.04,906822592000,0.76,12,19,华贸物流,10.03
26,统一大市场,BK1077,1177.49,0.5,0.04,372871728000,2.71,15,26,永泰运,10.02
27,百元股,BK1059,595.75,0.04,0.01,11905690624000,1.27,40,45,汇成真空,15.15
28,旅游概念,BK0692,1678.77,0.0,0.0,233215032000,3.58,13,14,九华旅游,4.4
29,央视50_,BK0610,2164.91,-0.91,-0.04,15774667008000,0.29,28,21,中国神华,2.23
30,内贸流通,BK1001,1202.86,-0.51,-0.04,1448544912000,3.21,55,103,立方制药,9.99
31,调味品概念,BK1026,913.32,-0.6,-0.07,707474240000,2.42,13,19,安记食品,9.97
32,REITs概念,BK0992,760.47,-0.79,-0.1,802503616000,0.96,11,13,ST数源,2.11
33,啤酒概念,BK1073,1059.2,-1.32,-0.12,257850125000,2.09,8,9,品渥食品,10.09
34,低碳冶金,BK0979,855.61,-1.1,-0.13,291015664000,0.47,2,3,中国中冶,0.68
35,AI语料,BK1172,918.35,-1.65,-0.18,337301952000,3.38,9,18,慈文传媒,9.94
36,茅指数,BK0999,669.99,-1.34,-0.2,12576560640000,0.82,21,21,北方华创,3.54
37,参股券商,BK0514,12790.8,-27.89,-0.22,3915890192000,1.17,48,79,天保基建,10.06
38,沪企改革,BK0672,2469.58,-5.77,-0.23,902708288000,0.98,14,26,华建集团,10.07
39,数字货币,BK0883,1648.0,-3.91,-0.24,787049872000,3.5,22,52,翠微股份,9.97
40,MSCI中国,BK0821,1118.99,-2.76,-0.25,63538708736000,0.62,248,302,赤峰黄金,8.08
41,跨境支付,BK1071,1489.26,-4.18,-0.28,11893848320000,0.39,25,23,南天信息,6.2
42,中字头,BK0505,7695.42,-24.04,-0.31,14781402880000,0.45,37,59,中国国航,3.89
43,租售同权,BK0822,706.84,-2.52,-0.36,412413552000,1.5,6,9,保利发展,1.96
44,蚂蚁概念,BK0937,684.67,-2.5,-0.36,4633324800000,0.6,19,34,翠微股份,9.97
45,进口博览,BK0850,939.84,-4.02,-0.43,231549803000,1.47,6,8,新世界,2.34
46,东北振兴,BK0838,1048.77,-4.71,-0.45,625447568000,1.66,15,43,欧亚集团,10.01
47,白酒,BK0896,2097.72,-9.7,-0.46,3665594208000,1.33,19,29,全 聚 德,4.79
48,破净股,BK1112,1225.54,-5.63,-0.46,22987449088000,0.54,149,292,天保基建,10.06
49,券商概念,BK0711,1008.16,-4.76,-0.47,3699286704000,0.65,13,41,东吴证券,1.07
50,社保重仓,BK0520,9747.93,-45.6,-0.47,401801136000,1.97,7,20,开润股份,15.27
51,IPO受益,BK0697,2889.72,-13.82,-0.48,2069170064000,1.3,20,34,华茂股份,10.0
52,超超临界发电,BK1087,1154.76,-5.64,-0.49,868736416000,1.29,17,23,川润股份,5.12
53,海洋经济,BK0623,2355.65,-11.9,-0.5,787756384000,1.96,13,34,集泰股份,9.96
54,参股保险,BK0604,2211.87,-11.83,-0.53,5711873024000,0.59,21,59,金陵饭店,10.01
55,大飞机,BK0814,1267.9,-6.75,-0.53,1760221072000,1.48,25,71,天保基建,10.06
56,中俄贸易概念,BK1072,1313.77,-7.24,-0.55,452848080000,3.12,19,42,集泰股份,9.96
57,地摊经济,BK0924,1767.67,-9.99,-0.56,628873104000,2.3,9,23,欧亚集团,10.01
58,参股银行,BK0525,9993.8,-57.17,-0.57,11060785664000,1.01,74,142,乐山电力,10.01
59,移动支付,BK0556,10911.8,-64.46,-0.59,3400428416000,2.31,18,50,翠微股份,9.97
60,通用航空,BK0625,5089.15,-30.27,-0.59,1010602416000,1.11,11,25,中国国航,3.89
61,成渝特区,BK0534,17689.41,-112.67,-0.63,2258372672000,1.73,27,58,乐山电力,10.01
62,深证100R,BK0743,1026.91,-6.65,-0.64,12119827712000,0.87,37,62,山金国际,6.15
63,屏下摄像,BK0947,874.82,-5.64,-0.64,476445024000,1.57,3,7,欧菲光,4.58
64,IGBT概念,BK1048,744.42,-4.76,-0.64,2110501472000,1.41,10,28,天龙股份,4.24
65,GDR,BK0868,808.52,-5.43,-0.67,1447263536000,0.57,3,8,国投电力,1.08
66,AI芯片,BK1127,1255.95,-8.43,-0.67,1241641008000,2.45,8,20,寒武纪-U,4.21
67,抽水蓄能,BK1003,1233.63,-8.58,-0.69,869078016000,0.96,13,18,长源电力,4.75
68,纳米银,BK0855,1575.78,-10.94,-0.69,79448988000,5.99,2,6,欧菲光,4.58
69,标准普尔,BK0879,1383.8,-9.8,-0.7,55669068288000,0.83,339,679,华贸物流,10.03
70,电子身份证,BK1075,1066.17,-7.59,-0.71,294802880000,2.61,8,24,雄帝科技,8.01
71,数字哨兵,BK1084,1357.43,-9.71,-0.71,87526016000,2.11,3,9,雄帝科技,8.01
72,绿色电力,BK1024,996.33,-7.13,-0.71,4627539968000,1.16,40,83,乐山电力,10.01
73,京津冀,BK0684,1513.82,-10.91,-0.72,550598544000,1.84,11,40,天保基建,10.06
74,北交所概念,BK0925,1529.73,-11.03,-0.72,307090912000,2.05,4,21,中 关 村,9.94
75,抖音小店,BK0928,1164.36,-8.47,-0.72,246691208000,2.63,7,19,维维股份,9.95
76,快递概念,BK0990,874.1,-6.41,-0.73,560144288000,2.02,13,28,华贸物流,10.03
77,宁组合,BK1000,472.46,-3.46,-0.73,3961333696000,0.84,6,18,北方华创,3.54
78,汽车芯片,BK0969,1079.41,-8.05,-0.74,1166742960000,1.89,13,41,芯朋微,5.21
79,民爆概念,BK1066,1272.95,-9.66,-0.75,167173255000,1.95,5,12,晓程科技,4.54
80,互联金融,BK0637,4474.42,-33.84,-0.75,18935632640000,0.53,68,132,南天信息,6.2
81,电商概念,BK0665,1986.84,-15.62,-0.78,6324869376000,2.87,98,224,立方制药,9.99
82,代糖概念,BK0938,936.86,-7.42,-0.79,135381162000,2.29,6,9,三元生物,4.88
83,养老概念,BK0653,2333.87,-18.58,-0.79,2710343744000,1.52,25,94,恒锋信息,20.0
84,沪股通,BK0707,1905.24,-15.29,-0.8,59706455808000,0.75,382,882,华贸物流,10.03
85,央国企改革,BK0683,4017.59,-32.68,-0.81,45645263872000,0.99,377,969,天沃科技,10.02
86,粤港自贸,BK0677,2829.0,-23.15,-0.81,1019622864000,1.85,23,48,集泰股份,9.96
