日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,CDLMORNINGDOJISTAR
2017-09-27,300193,6.2,6.36,6.4,6.19,33125,29089299.0,3.4,3.08,0.19,0.91,100
2021-09-22,300963,10.5,11.08,11.08,10.32,31678,95412737.0,7.24,5.52,0.58,11.13,100
2023-11-10,300963,9.12,9.26,9.32,9.06,24955,32633574.0,2.85,1.54,0.14,2.4,100
2025-02-17,300963,8.9,9.07,9.15,8.85,41251,37187548.0,3.36,1.57,0.14,2.06,100
2015-05-08,600965,11.36,11.68,11.7,11.26,83726,103161643.0,3.93,4.38,0.49,2.2,100
2020-12-11,600965,5.76,5.94,6.0,5.76,61676,38451809.0,4.14,2.41,0.14,0.75,100
2024-01-24,600965,5.29,5.52,5.52,5.24,81308,44147826.0,5.29,4.35,0.23,0.99,100
2018-02-02,002655,9.18,9.59,9.61,9.03,79158,74617176.0,6.32,4.47,0.41,2.2,100
2024-07-26,002655,10.2,10.41,10.5,10.17,64758,67154675.0,3.23,1.76,0.18,1.8,100
2023-06-01,603353,15.43,15.63,15.68,15.39,5215,8465929.0,1.88,1.17,0.18,0.3,100
2017-03-13,603330,13.08,13.73,13.82,12.96,38440,267691260.0,6.56,4.81,0.63,25.63,100
2018-05-15,603330,6.03,6.2,6.21,6.01,8086,26294370.0,3.32,2.99,0.18,3.33,100
2021-01-27,603330,14.21,15.23,15.32,13.9,31535,93275474.0,9.94,6.58,0.94,2.06,100
2024-08-26,603330,4.5,4.72,4.83,4.5,73110,34360186.0,7.27,3.96,0.18,1.69,100
2015-05-18,600095,12.0,12.92,13.3,11.69,467919,607023312.0,13.21,5.99,0.73,12.95,100
2016-06-15,600095,8.82,9.03,9.12,8.73,37048,34771976.0,4.42,2.27,0.2,1.03,100
2018-03-20,600095,5.25,5.4,5.42,5.23,65589,37371282.0,3.6,2.27,0.12,1.82,100
2018-10-10,600095,3.57,3.62,3.63,3.55,19915,7845121.0,2.25,1.69,0.06,0.55,100
2023-07-07,600095,7.68,7.78,7.84,7.66,173609,135494580.0,2.33,0.91,0.07,0.61,100
2023-08-10,600095,9.39,9.73,9.81,9.37,1029171,986432347.0,4.68,3.51,0.33,3.6,100
2017-06-29,600571,12.6,12.79,13.01,12.56,61956,87086427.0,3.56,1.27,0.16,1.48,100
2018-03-16,600571,8.76,9.34,9.34,8.76,110713,115616040.0,6.92,11.46,0.96,2.61,100
2018-09-18,600571,6.19,6.37,6.39,6.14,49540,37231097.0,4.02,2.41,0.15,1.17,100
2019-01-28,600571,6.06,6.16,6.19,5.89,129940,95127621.0,5.03,3.18,0.19,3.01,100
2019-02-01,600571,5.36,5.54,5.59,5.3,66653,44581784.0,5.49,4.92,0.26,1.55,100
2019-05-27,600571,8.19,8.53,8.56,8.11,103426,99317564.0,5.58,5.83,0.47,2.4,100
2022-03-16,600571,11.84,12.44,12.45,11.52,288479,362499200.0,7.98,6.78,0.79,6.7,100
2023-03-17,600571,10.32,10.8,10.93,10.27,315161,344044236.0,6.4,4.65,0.48,7.07,100
2024-07-25,001333,15.16,15.58,15.65,15.15,3246,5016551.7,3.26,1.7,0.26,0.74,100
2017-03-16,002549,8.52,8.62,8.62,8.52,50701,50382867.0,1.18,1.29,0.11,0.9,100
2019-04-10,603985,7.53,7.81,7.81,7.46,15425,42810515.0,4.71,5.11,0.38,2.32,100
2021-03-26,603985,14.16,14.57,14.67,14.16,19338,48592972.0,3.61,3.04,0.43,0.95,100
2021-04-06,603985,14.46,14.87,15.01,14.46,31658,81161349.0,3.82,3.19,0.46,1.55,100
2022-12-26,603985,23.49,24.96,25.26,23.08,68063,166748347.0,9.45,8.19,1.89,1.98,100
2017-05-16,000025,26.2,26.59,26.72,25.85,18349,70471590.0,3.32,1.49,0.39,0.95,100
2025-01-14,000025,15.43,15.97,15.97,15.31,62611,98192292.2,4.31,4.31,0.66,1.59,100
2023-05-22,001258,9.7,10.1,10.15,9.68,166115,168866899.68,4.87,4.55,0.44,7.12,100
2023-11-28,001258,7.89,7.98,7.99,7.81,34975,28041898.0,2.28,1.27,0.1,0.75,100
2024-11-19,001258,6.53,6.65,6.65,6.5,52374,34419350.6,2.3,1.99,0.13,1.12,100
2015-12-01,000715,8.18,8.56,8.94,8.13,44215,58837821.0,9.78,3.38,0.28,1.59,100
2021-04-28,000715,4.55,4.77,4.79,4.53,50507,24426819.0,5.6,2.8,0.13,1.22,100
2018-10-19,603579,22.27,23.38,23.91,21.47,9023,31118946.0,10.91,4.56,1.02,1.75,100
2020-11-12,603579,23.78,24.15,24.4,23.32,13160,45024544.0,4.55,1.77,0.42,0.94,100
2021-03-01,603579,19.92,20.7,20.75,19.92,6925,20605589.0,4.17,3.92,0.78,0.49,100
2021-08-09,603579,21.82,22.66,22.83,21.78,8435,26894077.0,4.78,3.09,0.68,0.6,100
2022-11-01,603579,13.15,13.38,13.39,12.99,7938,15149066.0,3.06,2.29,0.3,0.58,100
2024-05-27,603579,17.49,17.82,17.85,17.38,16571,40227090.0,2.68,1.71,0.3,1.19,100
2015-12-10,601519,12.6,12.91,13.39,12.55,429342,557441216.0,6.67,2.46,0.31,2.16,100
2020-04-02,601519,7.19,7.41,7.41,7.14,268377,195468013.0,3.75,2.92,0.21,1.35,100
2020-04-14,601519,7.66,7.81,7.91,7.6,371670,288214544.0,4.06,2.36,0.18,1.87,100
2021-04-14,601519,8.0,8.09,8.09,7.98,75410,60744017.0,1.38,1.38,0.11,0.38,100
2021-11-09,002541,32.27,34.44,34.94,31.94,56222,254643933.0,9.3,6.72,2.17,1.49,100
2022-06-20,002541,31.42,34.02,34.24,31.08,61149,207873065.0,10.17,9.46,2.94,1.24,100
2023-09-28,000601,3.97,4.02,4.05,3.96,56922,23974566.42,2.28,1.77,0.07,0.53,100
2025-03-12,000601,4.11,4.19,4.27,4.1,193088,84552422.85,4.14,1.95,0.08,1.79,100
2020-11-16,603169,4.28,4.36,4.38,4.27,48026,20776182.0,2.58,2.35,0.1,0.46,100
2022-11-01,603169,6.21,6.47,6.48,6.2,240844,153471257.0,4.53,4.69,0.29,1.84,100
2024-09-24,603169,4.29,4.45,4.45,4.28,144696,63492480.0,3.98,4.22,0.18,1.11,100
2024-10-31,301016,21.28,23.57,24.88,21.28,126148,294293365.0,16.67,9.12,1.97,27.07,100
2025-02-17,301016,21.45,21.87,21.9,21.4,21381,46378592.0,2.36,3.11,0.66,4.59,100
2017-08-14,603186,31.42,32.66,32.83,31.42,17416,58667950.0,4.49,3.95,1.24,5.38,100
2025-03-27,603186,25.01,25.57,26.26,24.5,59923,152642243.0,7.06,2.53,0.63,4.22,100
2017-06-26,000868,5.25,5.33,5.33,5.25,34254,18151271.0,1.53,1.72,0.09,0.49,100
2019-11-22,000868,4.3,4.41,4.53,4.3,178516,78889471.0,5.32,2.08,0.09,2.57,100
2023-06-09,000868,5.17,5.38,5.53,5.17,488439,263508930.26,7.1,6.11,0.31,6.66,100
2015-06-01,600060,28.74,30.09,30.18,28.2,300695,987011728.0,6.89,4.77,1.37,2.3,100
2016-06-27,600060,14.13,14.58,14.62,14.06,110838,193023245.0,3.93,2.39,0.34,0.85,100
2019-05-27,600060,6.26,6.41,6.44,6.19,103566,86716400.0,4.0,2.56,0.16,0.79,100
