序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
186,002658,雪迪龙,7.01,3.39,0.23,204150.0,143623743.66,5.16,7.2,6.85,6.89,6.78,2.49,5.69,26.44,1.73,4456684077.0,2514190820.0,0.0,0.14,10.57,9.53
337,002237,恒邦股份,11.11,1.74,0.19,297865.0,329567206.0,2.47,11.18,10.91,11.14,10.92,1.24,3.27,23.77,1.36,12755090797.0,10115194813.0,0.27,0.0,8.5,10.0
726,600061,国投资本,7.28,0.41,0.03,257942.0,187341177.0,0.97,7.29,7.22,7.24,7.25,1.17,0.4,17.28,0.9,46548179372.0,46548179372.0,0.0,0.0,-6.06,-3.19
918,603191,望变电气,13.41,0.07,0.01,62759.0,84581861.0,1.87,13.62,13.37,13.4,13.4,1.07,3.37,62.38,1.86,4467774928.0,2495947863.0,0.0,0.15,4.44,6.51
978,601999,出版传媒,6.28,0.0,0.0,93786.0,58809267.0,2.55,6.35,6.19,6.28,6.28,0.53,1.7,59.37,1.36,3459744316.0,3459744316.0,0.0,0.0,-7.37,0.16
1000,002354,天娱数科,6.22,0.0,0.0,569892.0,355073934.53,1.77,6.29,6.18,6.21,6.22,0.69,3.52,-899.43,7.38,10291523800.0,10066267508.0,-0.16,0.0,5.78,15.83
1047,603888,新华网,23.06,-0.04,-0.01,52764.0,121701719.0,1.73,23.25,22.85,23.07,23.07,1.01,1.02,57.61,3.44,11968817042.0,11968817042.0,0.0,0.0,-2.08,3.22
1080,002284,亚太股份,9.74,-0.1,-0.01,219658.0,213807809.69,2.87,9.87,9.59,9.75,9.75,0.83,3.0,33.81,2.47,7198837390.0,7122026045.0,-0.41,-0.51,22.36,25.84
1119,002158,汉钟精机,19.91,-0.15,-0.03,71210.0,142950593.96,2.86,20.42,19.85,19.94,19.94,0.8,1.33,12.04,2.51,10646357607.0,10624018787.0,0.0,0.0,4.13,7.51
1130,601377,兴业证券,5.96,-0.17,-0.01,359746.0,214838050.0,1.01,6.0,5.94,5.96,5.97,1.1,0.42,29.24,0.96,51470484272.0,51470484272.0,-0.17,-0.17,-6.44,-4.79
1139,600167,联美控股,5.67,-0.18,-0.01,36789.0,20847287.0,1.58,5.71,5.62,5.66,5.68,0.71,0.16,18.93,1.21,12830305425.0,12830305425.0,-0.18,-0.18,-3.57,-1.05
1152,300210,森远股份,10.37,-0.19,-0.02,82047.0,84624033.0,3.37,10.49,10.14,10.39,10.39,0.64,1.7,-98.46,12.05,5021360913.0,5014489875.0,-0.1,0.29,-3.71,1.27
1156,603998,方盛制药,9.99,-0.2,-0.02,148343.0,150336103.0,3.3,10.3,9.97,10.01,10.01,0.66,3.38,14.42,2.8,4386459749.0,4386422786.0,0.0,-0.1,-4.68,-3.57
1196,601555,东吴证券,7.91,-0.25,-0.02,199337.0,157947320.0,0.88,7.96,7.89,7.92,7.93,0.79,0.4,16.61,0.94,39302439441.0,39302439441.0,-0.25,-0.25,-2.1,1.41
1202,601061,中信金属,7.77,-0.26,-0.02,255086.0,196758046.0,2.44,7.83,7.64,7.78,7.79,0.71,5.09,17.01,1.73,38073000000.0,3893965391.0,0.0,-0.13,3.74,7.02
1221,300075,数字政通,17.51,-0.28,-0.05,113941.0,200297156.4,2.11,17.77,17.4,17.52,17.56,0.63,2.22,397.82,2.74,10875989067.0,9006981612.0,-0.06,0.06,2.4,1.21
