序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
1,688602,康鹏科技,7.38,5,26.15,19.71,电子化学品
2,002165,红宝丽,9.33,4,31.41,178.45,化学制品
3,002489,浙江永强,3.37,4,13.47,19.04,家居用品
4,000016,深康佳A,5.3,3,14.22,41.76,白色家电
5,000062,深圳华强,25.78,3,22.3,25.25,其他电子
6,002272,川润股份,9.78,3,21.49,32.91,通用设备
7,002294,信立泰,35.23,3,9.44,3.35,化学制药
8,002487,大金重工,25.59,3,17.01,10.27,风电设备
9,002640,跨境通,3.71,3,16.3,67.32,互联网电商
10,002675,东诚药业,14.75,3,15.87,10.33,化学制药
11,002693,双成药业,11.17,3,40.86,42.38,生物制品
12,300043,星辉娱乐,3.4,3,3.66,13.64,游戏
13,300204,舒泰神,7.77,3,15.28,11.52,化学制药
14,300338,*ST开元,4.39,3,0.69,12.57,教育
15,300422,博世科,4.13,3,7.27,7.89,环境治理
16,301056,森赫股份,8.42,3,7.81,9.82,专用设备
17,301209,联合化学,51.42,3,31.51,62.62,化学制品
18,301498,乖宝宠物,96.15,3,5.47,4.18,农产品加工
19,600249,两面针,7.35,3,46.12,23.37,美容护理
20,600735,新华锦,5.78,3,19.92,17.42,服装家纺
21,603039,泛微网络,62.36,3,6.74,4.29,软件开发
22,603508,思维列控,25.38,3,13.81,8.7,计算机设备
23,603655,朗博科技,22.77,3,1.25,5.36,汽车零部件
24,605008,长鸿高科,16.39,3,15.83,2.88,塑料制品
25,605580,恒盛能源,10.14,3,2.22,3.95,电力
26,688129,东来技术,19.55,3,5.9,3.21,化学制品
27,688386,泛亚微透,48.96,3,6.67,11.14,塑料制品
28,000010,美丽生态,2.52,2,-1.95,10.44,建筑装饰
29,000019,深粮控股,7.16,2,3.47,26.28,农产品加工
30,000037,深南电A,7.98,2,4.59,5.62,电力
31,000422,湖北宜化,12.25,2,2.6,14.68,农化制品
32,000498,山东路桥,5.72,2,2.14,2.08,建筑装饰
33,000505,京粮控股,7.37,2,12.35,21.4,农产品加工
34,000598,兴蓉环境,7.02,2,3.69,2.01,环境治理
35,000600,建投能源,6.77,2,19.4,14.34,电力
36,000609,*ST中迪,2.37,2,13.4,4.62,房地产
37,000639,西王食品,3.18,2,14.39,13.36,食品加工制造
38,000652,泰达股份,3.72,2,2.2,2.4,综合
39,000656,*ST金科,1.34,2,8.06,3.07,房地产
40,000669,ST金鸿,1.89,2,11.83,2.49,燃气
41,000695,滨海能源,9.49,2,2.93,5.16,电池
42,000710,贝瑞基因,13.02,2,-2.11,27.17,医疗服务
43,000752,ST西发,8.02,2,4.97,2.09,饮料制造
44,000767,晋控电力,2.68,2,4.28,2.12,电力
45,000791,甘肃能源,6.83,2,3.33,7.87,电力
46,000809,*ST和展,3.39,2,7.96,2.83,风电设备
47,000815,美利云,11.71,2,-1.76,14.97,通信服务
48,000862,银星能源,5.77,2,3.78,22.95,电力
49,000899,赣能股份,11.27,2,23.98,15.56,电力
50,000910,大亚圣象,7.57,2,0.4,2.12,家居用品
51,000917,电广传媒,7.34,2,3.82,13.69,文化传媒
52,000935,四川双马,15.97,2,4.86,3.2,建筑材料
53,000960,锡业股份,13.87,2,1.61,5.24,小金属
54,000966,长源电力,5.09,2,10.65,4.03,电力
55,000993,闽东电力,9.94,2,9.96,23.05,电力
56,001210,金房能源,13.36,2,1.75,4.11,电力
57,001218,丽臣实业,15.59,2,1.63,3.82,化学制品
58,001225,和泰机电,32.54,2,5.82,3.85,专用设备
59,001239,永达股份,13.91,2,1.24,9.78,工程机械
60,001256,炜冈科技,27.66,2,3.21,29.57,专用设备
61,001277,速达股份,34.37,2,3.96,10.98,专用设备
62,001279,强邦新材,39.34,2,14.0,11.57,包装印刷
63,001328,登康口腔,45.53,2,10.27,13.44,美容护理
64,001356,富岭股份,16.77,2,6.41,90.81,家居用品
65,001367,海森药业,26.48,2,-0.3,9.0,化学制药
66,001382,新亚电缆,22.41,2,8.89,62.25,电网设备
67,001387,雪祺电气,11.84,2,1.54,7.62,白色家电
68,001395,亚联机械,46.98,2,24.35,26.42,专用设备
69,001896,豫能控股,4.07,2,7.39,3.19,电力
70,002001,新和成,21.66,2,4.59,2.31,化学制药
71,002005,ST德豪,1.76,2,5.39,1.21,小家电
72,002052,*ST同洲,6.56,2,5.47,2.45,综合
73,002069,獐子岛,3.7,2,3.35,3.71,养殖业
74,002098,浔兴股份,8.95,2,24.31,4.72,纺织制造
75,002103,广博股份,8.77,2,5.28,27.04,家居用品
76,002121,科陆电子,4.23,2,10.16,5.26,电网设备
77,002122,汇洲智能,4.13,2,3.25,11.14,通用设备
78,002138,顺络电子,26.85,2,2.83,3.62,元件
79,002174,游族网络,8.76,2,2.94,3.83,游戏
80,002198,嘉应制药,6.5,2,2.69,3.72,中药
81,002216,三全食品,11.99,2,2.13,4.54,食品加工制造
82,002217,*ST合泰,2.15,2,4.37,1.45,光学光电子
83,002239,奥特佳,2.8,2,4.09,6.25,汽车零部件
84,002243,力合科创,7.7,2,-1.28,2.53,美容护理
85,002292,奥飞娱乐,8.06,2,-2.07,13.26,影视院线
86,002293,罗莱生活,8.4,2,5.0,1.49,服装家纺
87,002300,太阳电缆,5.62,2,0.72,9.04,电网设备
