排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,半导体,BK1036,1426.18,89.87,6.73,4608526336000,4.38,161,0,富满微,20.0
2,贵金属,BK0732,1329.67,53.07,4.16,403375728000,4.85,11,0,四川黄金,10.0
3,非金属材料,BK1020,1226.16,42.86,3.62,374612576000,3.11,27,7,长江材料,10.0
4,电子化学品,BK1039,1547.07,48.47,3.23,279041664000,5.43,26,1,江化微,9.98
5,贸易行业,BK0484,9239.32,250.37,2.79,302452208000,3.27,23,12,远大控股,10.07
6,电子元件,BK0459,21917.35,523.26,2.45,1816466816000,2.92,132,14,盛景微,10.01
7,电机,BK1030,1945.02,43.34,2.28,215595684000,4.33,24,2,兆威机电,10.0
8,光学光电子,BK1038,1330.41,24.71,1.89,971547968000,1.8,90,10,纬达光电,8.04
9,玻璃玻纤,BK0546,32953.63,605.13,1.87,325238288000,1.48,16,4,凯德石英,29.97
10,电池,BK1033,868.18,15.77,1.85,1780190672000,1.69,71,4,骆驼股份,9.99
11,通信设备,BK0448,12388.41,223.43,1.84,1349849952000,2.95,95,11,北斗星通,10.02
12,汽车零部件,BK0481,35363.64,608.15,1.75,1745623616000,2.91,197,24,海联金汇,10.0
13,仪器仪表,BK0458,15302.86,260.62,1.73,318830416000,3.53,58,16,武汉蓝电,18.4
14,消费电子,BK1037,1312.11,20.94,1.62,1698686448000,3.09,85,12,波导股份,9.89
15,交运设备,BK0429,9083.61,140.8,1.57,636426800000,1.81,39,11,今创集团,9.96
16,汽车服务,BK1016,920.97,13.51,1.49,66285607000,2.41,12,2,上海物贸,4.91
17,工程机械,BK0739,1705.08,24.85,1.48,688795120000,1.52,23,6,铁拓机械,6.08
18,房地产服务,BK1045,1051.48,13.6,1.31,85406432000,3.28,12,4,云南城投,10.21
19,电源设备,BK1034,1881.47,23.91,1.29,373525232000,2.63,22,7,科华数据,6.59
20,计算机设备,BK0735,1175.9,14.94,1.29,877557088000,3.11,42,7,合众思壮,10.06
21,塑料制品,BK0454,12618.22,158.0,1.27,375145456000,4.04,62,23,通达创智,9.99
22,汽车整车,BK1029,1550.27,19.04,1.24,2297670832000,1.09,21,5,比亚迪,5.52
23,专用设备,BK0910,2415.99,29.5,1.24,1469913936000,3.28,194,57,电光科技,10.01
24,通信服务,BK0736,1065.8,12.89,1.22,3515857664000,0.87,30,9,东软载波,5.11
25,化学制品,BK0538,22837.87,264.56,1.17,1226983792000,2.41,112,48,洪汇新材,9.99
26,珠宝首饰,BK0734,374.21,3.77,1.02,140523150000,2.06,12,5,潮宏基,6.11
27,通用设备,BK0545,33284.69,334.24,1.01,1197323968000,4.1,164,51,晋亿实业,10.1
28,互联网服务,BK0447,24021.71,239.23,1.01,1666245280000,3.75,120,25,捷顺科技,10.0
29,软件开发,BK0737,1029.16,10.07,0.99,2167825952000,3.19,147,44,南天信息,10.01
30,包装材料,BK0733,892.12,8.65,0.98,117563813000,1.85,18,9,佳合科技,8.45
31,教育,BK0740,609.06,5.49,0.91,78667076000,2.78,10,5,*ST开元,5.05
32,能源金属,BK1015,429.1,3.78,0.89,297479088000,1.59,11,1,威领股份,5.19
33,风电设备,BK1032,992.81,8.55,0.87,274917104000,1.85,17,12,海锅股份,7.55
34,航运港口,BK0450,9873.67,81.78,0.84,1002297440000,1.61,16,20,凤凰航运,10.1
35,化学制药,BK0465,27735.45,222.06,0.81,1673333568000,2.16,76,62,海南海药,10.0
36,光伏设备,BK1031,962.4,7.45,0.78,1161346544000,1.44,45,28,安彩高科,10.05
37,化纤行业,BK0471,13286.73,100.11,0.76,417273072000,1.54,17,6,南京化纤,5.01
38,电网设备,BK0457,24399.02,175.75,0.73,1171697200000,2.4,88,38,保变电气,10.01
39,医疗服务,BK0727,949.53,6.2,0.66,622349264000,2.04,28,16,迈普医学,8.7
40,家电行业,BK0456,19568.62,114.69,0.59,1823473472000,2.08,55,34,深康佳Ａ,9.91
41,有色金属,BK0478,15657.61,87.92,0.56,1476422464000,1.8,45,24,新威凌,6.05
42,化学原料,BK1019,766.59,4.1,0.54,812808880000,1.52,48,30,新金路,9.92
43,橡胶制品,BK1018,1306.15,6.92,0.53,249937875000,1.99,18,14,S佳通,5.02
44,装修建材,BK0476,11697.34,61.12,0.53,416375408000,2.44,28,35,美克家居,10.16
45,工程建设,BK0425,21155.89,102.1,0.48,1371376944000,0.8,36,31,*ST农尚,18.76
46,航天航空,BK0480,42305.22,201.96,0.48,1011383616000,1.82,27,19,星图测控,7.23
47,医疗器械,BK1041,784.21,3.41,0.44,1241951168000,1.54,64,49,贝瑞基因,10.01
48,纺织服装,BK0436,10078.63,43.25,0.43,487237152000,2.02,50,42,泰慕士,10.03
49,生物制品,BK1044,848.34,3.6,0.43,1344725776000,1.94,42,31,科兴制药,10.95
50,造纸印刷,BK0470,8095.77,30.07,0.37,226166037000,1.61,23,14,齐峰新材,6.97
51,环保行业,BK0728,393.31,1.35,0.34,600295264000,2.26,58,55,美埃科技,9.05
52,采掘行业,BK1017,1070.95,2.81,0.26,279371792000,0.92,9,11,龙高股份,4.62
53,装修装饰,BK0725,504.19,1.27,0.25,118830291000,3.01,18,17,创兴资源,8.66
54,游戏,BK1046,1060.95,2.31,0.22,333822800000,2.35,13,12,大晟文化,4.81
55,航空机场,BK0420,4636.12,8.69,0.19,660209248000,0.65,5,8,中信海直,1.65
56,中药,BK1040,1310.48,2.39,0.18,871480000000,1.49,23,41,长药控股,9.87
57,铁路公路,BK0421,8560.2,14.36,0.17,768193040000,0.82,14,14,五洲交通,7.49
58,家用轻工,BK0440,37634.86,58.81,0.16,262480629000,2.56,21,18,德力股份,5.84
59,美容护理,BK1035,846.35,1.3,0.15,289329344000,5.44,7,21,两面针,9.94
60,综合行业,BK0539,9242.06,11.2,0.12,163232413000,1.67,10,9,常山北明,2.47
61,工程咨询服务,BK0726,672.6,0.81,0.12,175335971000,2.31,15,28,华蓝集团,20.02
62,专业服务,BK1043,1186.92,1.24,0.1,211249282000,1.84,17,21,胜科纳米,9.91
63,石油行业,BK0464,5094.17,2.75,0.05,3364794704000,0.25,11,9,华锦股份,3.41
64,水泥建材,BK0424,23245.23,8.8,0.04,354018000000,1.26,12,15,富煌钢构,5.05
65,小金属,BK1027,1930.35,-0.32,-0.02,659271344000,2.43,21,14,博迁新材,4.81
66,化肥行业,BK0731,1287.26,-0.25,-0.02,380633744000,1.91,12,10,亚钾国际,6.32
67,证券,BK0473,131394.47,-27.37,-0.02,3121848704000,0.83,15,30,中国银河,2.63
68,钢铁行业,BK0479,6815.63,-7.74,-0.11,817953376000,0.98,20,23,凌钢股份,3.09
69,商业百货,BK0482,17230.18,-20.3,-0.12,565480080000,4.92,22,38,国芳集团,10.04
70,银行,BK0475,3693.21,-4.97,-0.13,13386123776000,0.24,13,26,民生银行,2.31
71,文化传媒,BK0486,9213.52,-13.13,-0.14,1021743152000,2.55,41,51,北京文化,6.91
72,公用事业,BK0427,7847.78,-18.63,-0.24,183316175000,1.09,8,13,国中水务,2.03
73,煤炭行业,BK0437,9745.48,-28.14,-0.29,1647469248000,0.59,9,22,新大洲A,2.34
74,医药商业,BK1042,951.63,-2.81,-0.29,314702352000,1.01,6,23,塞力医疗,2.92
75,旅游酒店,BK0485,15635.88,-54.07,-0.34,368056176000,6.14,12,25,华天酒店,9.97
76,船舶制造,BK0729,844.04,-3.85,-0.45,349899328000,1.65,2,8,亚光科技,2.84
77,燃气,BK1028,1399.37,-8.42,-0.6,264716243000,0.92,6,25,南京公用,1.94
78,房地产开发,BK0451,11578.77,-70.42,-0.6,997629200000,1.4,25,61,广宇集团,10.07
79,物流行业,BK0422,6581.9,-44.86,-0.68,895936352000,2.49,24,31,嘉诚国际,5.59
80,农药兽药,BK0730,1009.28,-7.33,-0.72,284207792000,3.2,21,27,辉丰股份,7.25
81,保险,BK0474,1299.26,-9.91,-0.76,2655779600000,0.28,0,6,中国平安,-0.26
82,多元金融,BK0738,524.32,-4.59,-0.87,421857888000,1.44,4,17,*ST仁东,3.94
83,电力行业,BK0428,15521.83,-199.48,-1.27,2990821712000,0.96,12,63,广西能源,5.9
84,酿酒行业,BK0477,49132.53,-738.91,-1.48,3736780400000,1.31,4,34,贵州茅台,1.29
85,食品饮料,BK0438,27146.85,-485.97,-1.76,1628028896000,4.07,18,98,保龄宝,10.01
86,农牧饲渔,BK0433,14158.42,-682.77,-4.6,1025324400000,6.09,9,82,百洋股份,10.08
