日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,RSI,volume_roc,CDLMORNINGSTAR,CDLENGULFING
2025-03-31,001258,6.59,7.26,7.26,6.57,245230,173906630.7,10.45,10.0,0.66,5.23,61.58288753698675,66.99239365070717,100,
2025-03-31,000791,6.47,6.57,6.69,6.47,519577,342134027.05,3.42,2.18,0.14,3.25,64.53393097521983,113.06888548065648,100,
2025-03-31,600011,6.8,6.92,6.98,6.8,852773,590266507.0,2.65,1.91,0.13,0.78,58.21382436175859,56.900491617480384,100,
2025-03-31,002364,14.13,14.64,14.85,13.81,368850,527725754.66,7.26,2.23,0.32,6.61,40.86883302291396,104.39206037836222,100,
2025-03-31,002757,19.83,21.17,21.98,19.51,307169,637781651.24,12.13,3.98,0.81,10.89,49.987078596975124,58.449697976364256,100,
2025-03-31,300193,10.49,11.28,11.99,10.47,907300,1024970491.0,15.18,12.69,1.27,20.76,63.98253334457989,753.7365677399929,100,
2025-03-31,600602,22.16,24.07,25.0,21.81,1057193,2443182245.0,13.99,5.57,1.27,9.84,51.43091951909328,57.63119245536215,100,
2025-03-31,001258,6.59,7.26,7.26,6.57,245230,173906630.7,10.45,10.0,0.66,5.23,61.58288753698675,66.99239365070717,100,100.0
2025-03-31,600353,8.24,8.7,8.75,8.22,805475,692242135.0,6.35,4.19,0.35,9.72,60.63263472891733,70.77305030699821,0,100.0
2025-03-31,002173,9.04,9.39,9.58,8.84,519993,479484012.0,8.1,2.74,0.25,12.51,41.65983990464614,76.36985255960194,0,100.0
2025-03-31,300753,21.68,23.05,23.6,21.1,146888,327395175.0,11.33,4.44,0.98,17.82,51.268913620783685,65.52439120586877,0,100.0
2025-03-31,603321,7.41,7.73,8.17,7.32,162901,127633906.0,11.44,4.04,0.3,5.38,54.77684522681716,484.14673503783126,0,100.0
2025-03-31,600315,18.96,19.52,19.6,18.85,71150,137643191.0,3.95,2.9,0.55,1.06,60.224497906400984,139.43330192488895,0,100.0
2025-03-31,300430,18.0,18.65,18.78,17.43,210910,381075529.0,7.42,2.53,0.46,8.12,48.06592826405563,83.37129840546697,0,100.0
2025-03-31,002862,27.1,28.29,28.45,26.15,83612,226958105.21,8.38,3.02,0.83,9.27,45.976166810805566,64.04803013655626,0,100.0
2025-03-31,301063,22.8,24.89,25.5,21.73,151617,362094208.0,16.38,8.17,1.88,17.79,61.71173325368529,116.65452051271062,0,100.0
2025-03-31,603037,16.4,16.66,16.88,16.1,74577,122793919.0,4.75,1.52,0.25,3.92,49.0995996133687,76.51778740325214,0,100.0
2025-03-31,601083,9.33,9.49,9.5,9.29,105082,99163806.0,2.25,1.61,0.15,5.41,59.117825082107146,148.9681806335442,0,100.0
2025-03-31,300446,19.56,20.45,20.69,19.43,468283,944846673.0,6.39,3.75,0.74,15.03,60.78236031337303,60.89655930677624,0,100.0
