序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301333,诺思格,56.73,10.41,5.35,18783,102526670.01,9.24,56.76,52.01,52.42,51.38,3.29,39.07,2.99
2,300759,康龙化成,28.71,6.65,1.79,187731,525786291.05,6.54,28.75,26.99,26.99,26.92,1.32,28.47,3.75
3,301096,百诚医药,38.6,6.51,2.36,22997,86749822.0,6.4,38.75,36.43,36.43,36.24,3.31,22.32,1.52
4,688202,美迪西,34.0,6.25,2.0,16678,55508547.0,6.09,34.0,32.05,32.05,32.0,1.24,-14.5,2.12
5,688621,阳光诺和,47.1,6.13,2.72,18340,84733544.0,6.74,47.34,44.35,44.35,44.38,1.64,29.26,4.78
6,300233,金城医药,20.54,5.82,1.13,252510,507059821.33,8.14,20.77,19.19,19.54,19.41,6.79,40.07,2.13
7,301301,川宁生物,13.35,5.53,0.7,168514,220625003.85,5.93,13.35,12.6,12.6,12.65,2.74,20.73,3.93
8,300725,药石科技,37.25,5.43,1.92,31995,116688272.85,5.04,37.27,35.49,35.49,35.33,1.9,42.34,2.68
9,603716,塞力医疗,10.91,5.21,0.54,147836,159203247.0,7.04,11.03,10.3,10.33,10.37,7.74,-27.89,2.14
10,000710,贝瑞基因,14.22,5.1,0.69,208466,295156417.0,7.39,14.55,13.55,13.55,13.53,6.55,363.04,2.68
11,300404,博济医药,10.33,5.09,0.5,121754,124228763.0,5.19,10.35,9.84,9.88,9.83,4.38,68.58,4.01
12,301230,泓博医药,32.46,4.98,1.54,21404,68422812.1,5.34,32.6,30.95,30.95,30.92,2.78,222.93,4.34
13,300199,翰宇药业,16.42,4.85,0.76,477464,760114676.5,8.37,16.54,15.23,15.59,15.66,6.76,-80.38,25.36
14,688246,嘉和美康,34.86,4.75,1.58,10355,35452223.0,4.33,34.86,33.42,33.71,33.28,1.03,-31.98,2.86
15,300009,安科生物,8.9,4.46,0.38,102776,89847030.0,4.46,8.9,8.52,8.53,8.52,0.84,21.06,3.76
16,600521,华海药业,16.28,4.36,0.68,90255,144149517.0,4.29,16.28,15.61,15.61,15.6,0.62,17.85,2.69
17,300267,尔康制药,2.7,4.25,0.11,145946,38831997.3,4.25,2.7,2.59,2.59,2.59,1.03,-164.01,1.18
18,301089,拓新药业,30.16,4.07,1.18,39117,116701760.67,4.69,30.37,29.01,29.34,28.98,4.3,-1078.63,2.43
19,000516,国际医学,5.67,4.04,0.22,139703,78401721.0,4.22,5.69,5.46,5.46,5.45,0.63,-45.32,3.51
20,300406,九强生物,16.27,4.03,0.63,18888,30242307.31,4.03,16.27,15.64,15.64,15.64,0.45,17.97,2.42
21,002524,光正眼科,4.09,3.81,0.15,48430,19674869.0,4.06,4.11,3.95,3.96,3.94,0.95,-76.43,7.77
22,300206,理邦仪器,12.57,3.8,0.46,28420,35303744.0,3.72,12.58,12.13,12.13,12.11,0.84,31.79,3.61
23,300412,迦南科技,5.44,3.62,0.19,59993,32303555.9,2.86,5.44,5.29,5.29,5.25,1.27,74.86,2.57
24,600557,康缘药业,14.61,3.54,0.5,42825,61802488.0,3.33,14.61,14.14,14.18,14.11,0.76,17.47,1.62
25,688393,安必平,36.83,3.25,1.16,21805,79300645.0,4.46,36.95,35.36,35.67,35.67,2.33,156.38,2.74
26,600055,万东医疗,17.19,3.24,0.54,22610,38420906.0,2.88,17.2,16.72,16.8,16.65,0.32,76.81,2.53
27,000661,长春高新,100.83,3.1,3.03,23585,234897336.03,3.15,100.85,97.77,97.77,97.8,0.59,11.06,1.79
28,603108,润达医疗,20.36,2.78,0.55,95780,193559995.0,3.08,20.49,19.88,19.89,19.81,1.59,182.8,2.86
29,301602,超研股份,26.38,2.73,0.7,28547,74966421.24,3.39,26.56,25.69,25.69,25.68,5.21,89.19,9.4
30,600380,健康元,11.88,2.59,0.3,73636,86596139.0,2.76,11.88,11.56,11.6,11.58,0.4,14.66,1.5
31,002044,美年健康,5.75,1.95,0.11,231065,131746065.61,1.95,5.76,5.65,5.65,5.64,0.6,685.28,2.94
32,300290,荣科科技,17.22,0.88,0.15,43772,74595075.0,2.23,17.23,16.85,17.08,17.07,0.68,-1248.37,13.45
33,002195,岩山科技,5.51,-0.54,-0.03,1209943,667931979.6,3.25,5.62,5.44,5.59,5.54,2.16,554.42,3.2
