排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,CRO,BK0899,1376.07,63.9,4.87,548473056000,0.99,37,0,诚达药业,20.01
2,CAR-T细胞疗法,BK0986,978.69,43.4,4.64,455974352000,1.0,22,0,和元生物,14.36
3,超级真菌,BK0862,1050.13,44.74,4.45,525605584000,1.25,20,0,润都股份,10.01
4,免疫治疗,BK0698,1353.54,50.93,3.91,470104016000,0.73,41,1,南华生物,9.99
5,AI制药（医疗）,BK1170,1198.28,44.43,3.85,406783264000,1.21,32,1,诺思格,9.01
6,重组蛋白,BK1063,808.48,29.86,3.83,166705022000,0.71,14,0,成都先导,7.88
7,蒙脱石散,BK1123,1009.94,37.02,3.81,59732769000,1.47,11,0,金城医药,5.31
8,肝炎概念,BK1078,1161.58,42.01,3.75,437007056000,1.24,44,1,热景生物,9.29
9,创新药,BK1106,1123.98,40.41,3.73,1693866960000,0.69,94,0,润都股份,10.01
10,流感,BK0906,1493.34,53.49,3.71,1326034848000,0.83,112,3,润都股份,10.01
11,新冠药物,BK1060,791.68,28.03,3.67,570658992000,0.93,57,0,三元基因,9.39
12,昨日连板_含一字,BK1051,5921.53,207.54,3.63,56446107000,6.13,4,4,恒星科技,10.13
13,熊去氧胆酸,BK1120,980.75,33.1,3.49,310648032000,0.77,18,0,上海凯宝,7.91
14,地塞米松,BK0929,1185.99,39.92,3.48,77629365000,0.74,10,0,联环药业,7.29
15,痘病毒防治,BK1085,797.13,26.51,3.44,642533984000,0.73,55,0,热景生物,9.29
16,幽门螺杆菌概念,BK1056,856.65,27.69,3.34,476783232000,1.03,49,2,润都股份,10.01
17,病毒防治,BK0675,2408.78,77.64,3.33,1456891296000,0.71,113,3,哈三联,10.05
18,辅助生殖,BK0939,980.11,31.07,3.27,522322976000,0.82,52,0,贝瑞基因,6.58
19,阿兹海默,BK0894,1671.91,52.85,3.26,148998874000,1.46,14,0,鲁抗医药,9.98
20,减肥药,BK1146,987.72,30.97,3.24,392691872000,0.74,24,1,德源药业,10.47
