序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,concept
1,300759,康龙化成,28.72,6.69,1.8,395744.0,1125700314.05,8.06,29.16,26.99,26.99,26.92,2.79,28.48,3.75,AI制药（医疗）
2,300233,金城医药,20.7,6.65,1.29,433205.0,883983739.69,12.16,21.55,19.19,19.54,19.41,11.65,40.38,2.14,AI制药（医疗）
4,301230,泓博医药,32.67,5.66,1.75,56061.0,182585171.1,8.51,33.58,30.95,30.95,30.92,7.29,224.37,4.37,AI制药（医疗）
5,301333,诺思格,54.26,5.61,2.88,34925.0,192554569.91,9.71,57.0,52.01,52.42,51.38,6.11,37.37,2.86,AI制药（医疗）
6,301096,百诚医药,38.17,5.33,1.93,43428.0,165221424.0,6.4,38.75,36.43,36.43,36.24,6.25,22.07,1.5,AI制药（医疗）
7,300404,博济医药,10.35,5.29,0.52,247543.0,254960894.76,6.71,10.5,9.84,9.88,9.83,8.91,68.71,4.02,AI制药（医疗）
9,300725,药石科技,37.05,4.87,1.72,69290.0,255809908.55,6.11,37.65,35.49,35.49,35.33,4.11,42.11,2.67,AI制药（医疗）
10,600521,华海药业,16.34,4.74,0.74,256169.0,417148370.0,6.54,16.63,15.61,15.61,15.6,1.75,17.92,2.7,AI制药（医疗）
11,301301,川宁生物,13.24,4.66,0.59,353107.0,467440522.93,7.43,13.54,12.6,12.6,12.65,5.73,20.56,3.9,AI制药（医疗）
12,000661,长春高新,102.3,4.6,4.5,77112.0,783863710.41,6.26,103.89,97.77,97.77,97.8,1.93,11.22,1.82,AI制药（医疗）
14,300406,九强生物,16.32,4.35,0.68,48428.0,78632042.31,5.63,16.52,15.64,15.64,15.64,1.14,18.03,2.42,AI制药（医疗）
15,300009,安科生物,8.89,4.34,0.37,222899.0,197014281.11,5.4,8.98,8.52,8.53,8.52,1.82,21.03,3.76,AI制药（医疗）
16,002524,光正眼科,4.1,4.06,0.16,78833.0,32166248.0,4.82,4.14,3.95,3.96,3.94,1.55,-76.62,7.79,AI制药（医疗）
17,300267,尔康制药,2.69,3.86,0.1,268717.0,72024588.3,5.02,2.72,2.59,2.59,2.59,1.89,-163.4,1.17,AI制药（医疗）
18,600557,康缘药业,14.65,3.83,0.54,96033.0,139741028.0,4.11,14.72,14.14,14.18,14.11,1.7,17.52,1.62,AI制药（医疗）
19,300412,迦南科技,5.45,3.81,0.2,116093.0,62991693.6,4.57,5.53,5.29,5.29,5.25,2.45,75.0,2.58,AI制药（医疗）
20,300206,理邦仪器,12.54,3.55,0.43,61615.0,77085039.0,4.29,12.65,12.13,12.13,12.11,1.82,31.71,3.61,AI制药（医疗）
21,000516,国际医学,5.64,3.49,0.19,245963.0,138644661.0,4.4,5.7,5.46,5.46,5.45,1.11,-45.08,3.49,AI制药（医疗）
22,603716,塞力医疗,10.71,3.28,0.34,202324.0,218092596.0,7.04,11.03,10.3,10.33,10.37,10.59,-27.38,2.1,AI制药（医疗）
23,000710,贝瑞基因,13.97,3.25,0.44,302305.0,427595621.0,7.39,14.55,13.55,13.55,13.53,9.5,356.65,2.64,AI制药（医疗）
24,600380,健康元,11.95,3.2,0.37,220228.0,262061588.0,4.23,12.05,11.56,11.6,11.58,1.2,14.75,1.51,AI制药（医疗）
25,301089,拓新药业,29.82,2.9,0.84,57394.0,171617583.67,4.69,30.37,29.01,29.34,28.98,6.31,-1066.47,2.41,AI制药（医疗）
26,600055,万东医疗,17.1,2.7,0.45,41378.0,70652886.0,3.0,17.22,16.72,16.8,16.65,0.59,76.4,2.52,AI制药（医疗）
27,603108,润达医疗,20.31,2.52,0.5,201056.0,408821871.0,3.58,20.59,19.88,19.89,19.81,3.33,182.35,2.86,AI制药（医疗）
29,300199,翰宇药业,15.93,1.72,0.27,768660.0,1229293364.03,8.37,16.54,15.23,15.59,15.66,10.88,-77.98,24.6,AI制药（医疗）
30,002044,美年健康,5.7,1.06,0.06,580223.0,332268405.61,2.48,5.79,5.65,5.65,5.64,1.5,679.32,2.92,AI制药（医疗）
31,300290,荣科科技,17.2,0.76,0.13,71419.0,122118513.0,2.4,17.26,16.85,17.08,17.07,1.12,-1246.92,13.43,AI制药（医疗）
32,301602,超研股份,25.86,0.7,0.18,45678.0,119697606.72,3.39,26.56,25.69,25.69,25.68,8.34,87.43,9.22,AI制药（医疗）
33,002195,岩山科技,5.48,-1.08,-0.06,1827936.0,1007227733.6,3.25,5.62,5.44,5.59,5.54,3.26,551.41,3.18,AI制药（医疗）
1,603169,兰石重装,8.14,10.0,0.74,529689.0,425778838.0,4.32,8.14,7.82,7.91,7.4,4.05,68.08,3.22,天然气
2,002639,雪人股份,9.2,7.73,0.66,1415999.0,1247547745.74,13.35,9.39,8.25,8.3,8.54,21.77,158.76,2.88,天然气
3,300164,通源石油,4.58,7.26,0.31,929328.0,435389695.0,12.18,4.97,4.45,4.45,4.27,15.93,42.01,1.97,天然气
4,600979,广安爱众,5.99,6.39,0.36,1136457.0,678667629.0,6.04,6.09,5.75,5.82,5.63,9.22,23.59,1.65,天然气
5,002476,宝莫股份,4.57,5.54,0.24,152306.0,68575785.2,5.54,4.58,4.34,4.34,4.33,2.49,89.77,3.13,天然气
6,600644,乐山电力,6.95,4.67,0.31,142822.0,98375416.0,4.52,6.99,6.69,6.69,6.64,2.65,43.96,1.93,天然气
7,600969,郴电国际,6.92,4.37,0.29,102938.0,70643892.0,5.88,7.01,6.62,6.62,6.63,2.78,31.77,0.7,天然气
8,300084,海默科技,7.85,4.25,0.32,553716.0,443651659.55,11.82,8.52,7.63,7.66,7.53,16.07,-55.37,2.72,天然气
9,603223,恒通股份,8.97,4.18,0.36,42071.0,37587274.0,4.76,9.03,8.62,8.63,8.61,0.76,41.31,1.69,天然气
10,000554,泰山石油,6.38,4.08,0.25,239020.0,152263056.0,4.24,6.49,6.23,6.4,6.13,6.59,43.15,3.08,天然气
12,600107,美尔雅,5.22,3.98,0.2,155616.0,81175770.0,5.18,5.3,5.04,5.05,5.02,4.32,-29.03,3.67,天然气
13,605169,洪通燃气,10.25,3.96,0.39,16704.0,16990333.0,3.96,10.29,9.9,9.91,9.86,0.59,13.19,1.51,天然气
14,600759,洲际油气,2.36,3.96,0.09,1533490.0,363791850.0,6.17,2.44,2.3,2.3,2.27,3.7,47.2,1.19,天然气
15,603619,中曼石油,18.61,3.56,0.64,131468.0,244425930.0,2.5,18.75,18.3,18.3,17.97,2.84,9.65,2.23,天然气
16,601969,海南矿业,7.29,3.55,0.25,105299.0,76033505.0,3.13,7.3,7.08,7.08,7.04,0.53,20.62,2.1,天然气
17,002971,和远气体,20.21,3.38,0.66,62623.0,124440311.1,5.58,20.33,19.24,19.46,19.55,3.91,54.45,3.16,天然气
18,000593,德龙汇能,5.51,3.38,0.18,61127.0,33520604.0,4.69,5.58,5.33,5.35,5.33,1.71,35.01,2.27,天然气
19,001299,美能能源,14.48,3.28,0.46,61892.0,88981946.08,3.5,14.54,14.05,14.16,14.02,12.07,31.11,2.09,天然气
20,002828,贝肯能源,8.59,3.25,0.27,87808.0,75378602.0,3.61,8.67,8.37,8.39,8.32,4.57,53.2,2.88,天然气
21,600101,明星电力,11.26,3.21,0.35,562182.0,625993250.0,6.05,11.36,10.7,10.91,10.91,10.26,29.47,2.06,天然气
22,300190,维尔利,3.24,3.18,0.1,51307.0,16472848.0,3.18,3.25,3.15,3.15,3.14,0.66,142.22,0.72,天然气
24,002554,惠博普,2.6,3.17,0.08,256464.0,66829909.0,3.97,2.65,2.55,2.55,2.52,1.92,-33.91,1.44,天然气
25,002478,常宝股份,5.91,3.14,0.18,236366.0,138390890.5,3.84,5.94,5.72,5.77,5.73,3.28,8.4,0.94,天然气
26,000421,南京公用,6.03,3.08,0.18,82937.0,49791153.0,2.56,6.05,5.9,5.9,5.85,1.44,-180.72,1.31,天然气
27,603318,水发燃气,6.66,2.94,0.19,64926.0,43026042.0,3.55,6.71,6.48,6.48,6.47,1.69,35.88,2.1,天然气
28,300471,厚普股份,9.17,2.92,0.26,30749.0,27964688.0,3.14,9.19,8.91,8.91,8.91,0.84,-46.24,3.23,天然气
29,600764,中国海防,28.82,2.89,0.81,54480.0,155550593.0,2.89,28.94,28.13,28.39,28.01,0.77,103.04,2.54,天然气
30,603080,新疆火炬,16.35,2.83,0.45,14732.0,24016983.0,3.02,16.45,15.97,16.04,15.9,1.04,13.26,1.55,天然气
31,000968,蓝焰控股,6.62,2.8,0.18,56207.0,37069405.1,3.11,6.66,6.46,6.46,6.44,0.58,15.92,1.1,天然气
33,603706,东方环宇,18.43,2.73,0.49,11811.0,21693876.0,3.68,18.58,17.92,17.92,17.94,0.62,21.51,2.17,天然气
34,600339,中油工程,3.42,2.7,0.09,213452.0,72475204.0,2.4,3.42,3.34,3.34,3.33,0.38,22.65,0.72,天然气
35,002443,金洲管道,6.13,2.68,0.16,42031.0,25480689.0,2.85,6.13,5.96,6.01,5.97,0.81,19.46,0.93,天然气
36,300332,天壕能源,5.0,2.67,0.13,86029.0,42837938.87,2.67,5.01,4.88,4.89,4.87,1.04,24.65,1.04,天然气
37,600333,长春燃气,4.65,2.65,0.12,80523.0,37327543.0,3.09,4.67,4.53,4.54,4.53,1.32,-25.91,1.51,天然气
38,300985,致远新能,17.16,2.63,0.44,10309.0,17624394.8,3.23,17.28,16.74,16.87,16.72,0.55,50.69,2.64,天然气
39,603727,博迈科,14.47,2.62,0.37,40304.0,58416369.0,2.55,14.66,14.3,14.38,14.1,1.43,40.54,1.26,天然气
40,300483,首华燃气,8.72,2.59,0.22,63852.0,56557522.4,8.24,9.25,8.55,8.56,8.5,2.46,-22.4,0.95,天然气
41,300335,迪森股份,5.21,2.56,0.13,107762.0,56283552.0,4.13,5.31,5.1,5.1,5.08,2.8,28.82,1.29,天然气
42,301303,真兰仪表,14.02,2.56,0.35,18770.0,26215259.0,3.07,14.1,13.68,13.68,13.67,1.84,18.48,1.79,天然气
43,002015,协鑫能科,7.76,2.51,0.19,132808.0,102899777.88,3.57,7.85,7.58,7.58,7.57,0.82,15.59,1.07,天然气
44,600691,阳煤化工,2.13,2.4,0.05,122873.0,25946381.0,3.37,2.14,2.07,2.07,2.08,0.52,-9.81,1.19,天然气
45,300157,新锦动力,3.14,2.28,0.07,216527.0,68831481.0,4.89,3.24,3.09,3.09,3.07,3.08,-15.65,-9.97,天然气
46,600938,中国海油,26.56,2.27,0.59,361075.0,956242622.0,1.27,26.59,26.26,26.27,25.97,1.27,9.15,1.69,天然气
47,600642,申能股份,9.11,2.24,0.2,188726.0,170346618.0,2.92,9.12,8.86,8.89,8.91,0.39,10.19,1.27,天然气
49,000407,胜利股份,3.3,2.17,0.07,86125.0,28325683.0,3.1,3.32,3.22,3.23,3.23,0.98,24.77,0.98,天然气
50,603800,洪田股份,34.72,2.15,0.73,29944.0,103554090.0,3.97,35.1,33.75,34.29,33.99,1.44,63.61,9.17,天然气
51,000543,皖能电力,7.62,2.14,0.16,326745.0,247336154.0,2.41,7.64,7.46,7.47,7.46,1.44,8.19,1.12,天然气
52,600796,钱江生化,5.81,2.11,0.12,71486.0,41611586.0,3.16,5.88,5.7,5.73,5.69,2.31,29.3,1.55,天然气
53,002267,陕天然气,8.27,2.1,0.17,46067.0,37929000.0,2.22,8.28,8.1,8.15,8.1,0.41,13.18,1.37,天然气
54,600917,重庆燃气,5.86,2.09,0.12,34369.0,20041510.0,2.09,5.87,5.75,5.75,5.74,0.22,26.1,1.67,天然气
